시도명,시군구명,행정구역_코드,행정동명,경도,위도
경기도,남양주시,31130120,진접읍,127.19369569321768,37.72553932833252
경기도,남양주시,31130160,퇴계원읍,127.14320928222898,37.65349544199678
경기도,남양주시,31130520,평내동,127.23512027117025,37.6464185093458
경기도,남양주시,31130510,호평동,127.24951517766141,37.66381520679042
경기도,남양주시,31130111,화도읍,127.31594426535887,37.65282615156739
경기도,동두천시,31080550,보산동,127.08854680458421,37.92527645015141
경기도,동두천시,31080560,불현동,127.10859765589527,37.89253808858832
경기도,동두천시,31080600,상패동,127.03150225249188,37.90912343832624
경기도,동두천시,31080510,생연1동,127.06685328658126,37.9090709607506
경기도,동두천시,31080520,생연2동,127.05129051963112,37.90008227410969
경기도,동두천시,31080580,소요동,127.05622742467166,37.947780711849454
경기도,동두천시,31080610,송내동,127.06504549849576,37.88072147484045
경기도,동두천시,31080530,중앙동,127.05449602474069,37.908363301843025
경기도,부천시 소사구,31052591,괴안동,126.8066180578829,37.47876538119747
경기도,부천시 소사구,31052571,범박동,126.80896344976173,37.46892607202209
경기도,부천시 소사구,31052561,소사본1동,126.80040148250401,37.47144668455016
경기도,부천시 소사구,31052551,소사본동,126.7927172052851,37.47449559563807
경기도,부천시 소사구,31052531,송내1동,126.7566434351737,37.48385729459207
경기도,부천시 소사구,31052541,송내2동,126.76850653228755,37.47981808752881
경기도,부천시 소사구,31052511,심곡본1동,126.77583352429673,37.478190982504934
경기도,부천시 소사구,31052521,심곡본동,126.78282130991501,37.47848869267025
경기도,부천시 소사구,31052601,역곡3동,126.81586574356429,37.48265903319636
경기도,부천시 소사구,31052581,옥길동,126.82228991630969,37.46765964089711
경기도,부천시 오정구,31053531,고강1동,126.81063574590566,37.53441284390144
경기도,부천시 오정구,31053521,고강본동,126.82086953875744,37.529173966594904
경기도,부천시 오정구,31053511,성곡동,126.80817920463942,37.51365945298911
경기도,부천시 오정구,31053571,신흥동,126.77177878678901,37.52300924430087
경기도,부천시 오정구,31053561,오정동,126.77931379357456,37.53651087150743
경기도,부천시 오정구,31053541,원종1동,126.80405446755428,37.53038180352317
경기도,부천시 오정구,31053551,원종2동,126.8007604351507,37.52544507294026
경기도,부천시 원미구,31051601,도당동,126.78543502897004,37.51338439080912
경기도,부천시 원미구,31051681,상1동,126.75125405007792,37.49296404296339
경기도,부천시 원미구,31051691,상2동,126.74852014994913,37.499126860384735
경기도,부천시 원미구,31051701,상3동,126.75202132090844,37.51075740242753
경기도,부천시 원미구,31051621,상동,126.75919246223424,37.49144428948616
경기도,부천시 원미구,31051551,소사동,126.79514699841515,37.48598424797381
경기도,부천시 원미구,31051511,심곡1동,126.78193389920628,37.492393549894075
경기도,부천시 원미구,31051521,심곡2동,126.7841774899019,37.486649426877115
경기도,부천시 원미구,31051531,심곡3동,126.77474211199359,37.48961375403269
경기도,부천시 원미구,31051631,약대동,126.76920155308035,37.513382500892675
