행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
경기 고양시,성사2동,문화,2,5.0,9.9,1.0986122886681098,4.03684646850022,7.575688299222188,4.138539971159786
서울 영등포구,신길7동,음식,2,5.0,9.895,1.0986122886681098,4.03684646850022,7.575188299222186,4.138377472763699
경기 포천시,선단동,액티비티,4,3.75,6.4025,1.6094379124341003,3.897133153182018,7.15108027202017,4.1383616542983805
경기 구리시,갈매동,액티비티,2,5.0,9.885,1.0986122886681098,4.03684646850022,7.574188299222188,4.138052475971525
서울 송파구,풍납1동,힐링,2,5.0,9.879999999999999,1.0986122886681098,4.03684646850022,7.573688299222186,4.137889977575438
경기 부천시,정왕3동,음식,2,5.0,9.870000000000001,1.0986122886681098,4.03684646850022,7.572688299222188,4.137564980783265
서울 구로구,구로5동,음식,2,5.0,9.865,1.0986122886681098,4.03684646850022,7.572188299222186,4.137402482387177
경기 수원시,단월면,음식,2,5.0,9.855,1.0986122886681098,4.03684646850022,7.571188299222188,4.137077485595005
경기 수원시,정자2동,힐링,2,5.0,9.855,1.0986122886681098,4.03684646850022,7.571188299222188,4.137077485595005
경기 이천시,부발읍,힐링,2,5.0,9.85,1.0986122886681098,4.03684646850022,7.570688299222186,4.136914987198917
경기 의왕시,오전동,힐링,2,5.0,9.844999999999999,1.0986122886681098,4.03684646850022,7.5701882992221865,4.136752488802831
서울 중구,소공동,힐링,3,3.6666666666666665,7.866666666666667,1.3862943611198906,3.892234731904971,7.395893618306845,4.136744676196102
경기 안성시,공도읍,액티비티,13,2.6923076923076925,5.346923076923076,2.6390573296152584,3.4108686893549804,6.491089225304637,4.136533273371939
경기 안성시,안성1동,문화,2,5.0,9.835,1.0986122886681098,4.03684646850022,7.569188299222188,4.136427492010657
경기 남양주시,효자동,문화,2,5.0,9.825,1.0986122886681098,4.03684646850022,7.568188299222188,4.136102495218483
경기 성남시,판교동,문화,6,3.5,5.4383333333333335,1.9459101490553132,3.8223720570835162,6.847656916018489,4.136022057941925
서울 중구,동화동,문화,40,2.45,5.11825,3.713572066704308,2.90925740293111,5.8007545859386855,4.135979728387088
서울 서대문구,충현동,액티비티,2,5.0,9.815000000000001,1.0986122886681098,4.03684646850022,7.567188299222186,4.135777498426309
경기 성남시,상대원1동,힐링,2,5.0,9.805,1.0986122886681098,4.03684646850022,7.566188299222188,4.135452501634136
경기 안산시,본오3동,문화,3,4.333333333333333,7.169999999999999,1.3862943611198906,3.9874728271430664,7.296369808783035,4.134702984175266
경기 화성시,병점2동,힐링,2,5.0,9.754999999999999,1.0986122886681098,4.03684646850022,7.561188299222186,4.133827517673267
인천 강화군,선원면,문화,2,5.0,9.754999999999999,1.0986122886681098,4.03684646850022,7.561188299222186,4.133827517673267
