addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 중구 퇴계로 145 (충무로2가),,1,0.0,A02,A0206,A02060500,129912,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/64/3384964_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/3384964_image3_1.JPG,Type3,126.9879953,37.56133558,6.0,20250300000000.0,24,,세종호텔 세종갤러리,4537
서울특별시 종로구 인사동10길 4,(관훈동),1,0.0,A02,A0206,A02060500,129909,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/20/683420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/683420_image3_1.jpg,Type3,126.9853591,37.57397573,6.0,20240800000000.0,23,,모던화랑,3148
서울특별시 종로구 삼청로 50 학고재,,1,0.0,A02,A0206,A02060500,129908,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/47/1570647_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1570647_image3_1.jpg,Type3,126.9802371,37.58034989,6.0,20241100000000.0,23,,학고재,3053
서울특별시 종로구 인사동5길 29,,1,0.0,A02,A0206,A02060500,129907,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/63/3478563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3478563_image3_1.jpg,Type3,126.9848258,37.57198706,6.0,20250300000000.0,23,,조형갤러리,3162
서울특별시 종로구 인사동길 54,,1,0.0,A02,A0206,A02060500,129906,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/78/683378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/683378_image3_1.jpg,Type3,126.9840814,37.57484783,6.0,20240800000000.0,23,,노화랑,3146
서울특별시 종로구 인사동5길 8,(인사동),1,0.0,A02,A0206,A02060500,129905,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/95/1837595_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/1837595_image3_1.jpg,Type3,126.9856924,37.57291752,6.0,20240900000000.0,23,,선화랑,3149
서울특별시 종로구 인사동9길 35,(견지동),1,0.0,A02,A0206,A02060500,129903,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/70/3478570_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3478570_image3_1.jpg,Type3,126.9833593,37.57292026,6.0,20250300000000.0,23,,동산방화랑,3149
서울특별시 종로구 인사동10길 18,(관훈동),1,0.0,A02,A0206,A02060500,129902,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/59/682259_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/682259_image3_1.jpg,Type3,126.9859146,37.57422293,6.0,20241000000000.0,23,,갤러리 우림,3148
서울특별시 은평구 연서로29길 34-14 (갈현동),,1,0.0,A02,A0206,A02060500,129900,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/75/683375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/683375_image3_1.jpg,Type3,126.9171584,37.62054409,6.0,20241100000000.0,23,,나화랑,3330
서울특별시 종로구 인사동10길 11,,1,0.0,A02,A0206,A02060500,129898,14,20071100000000.0,,,,126.9856035,37.5742757,6.0,20241100000000.0,23,,가람화랑,3146
서울특별시 용산구 청파로47길 100,,1,0.0,A02,A0206,A02060100,129856,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/99/1567999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/1567999_image3_1.jpg,Type3,126.9645618,37.54593695,6.0,20241100000000.0,21,,숙명여자대학교 박물관,4310
서울특별시 종로구 평창30길 28,(평창동),1,0.0,A02,A0206,A02060500,129854,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,Type3,126.9751811,37.61220999,6.0,20240800000000.0,23,,가나아트센터,3004
서울특별시 종로구 자하문로5길 18-4,,1,0.0,A02,A0206,A02060500,129852,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/93/3413893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3413893_image3_1.jpg,Type3,126.9708492,37.57794445,6.0,20241100000000.0,23,,표갤러리,3040
서울특별시 종로구 자하문로 273 (부암동),,1,0.0,A02,A0206,A02060500,129846,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/25/682325_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/682325_image3_1.jpg,Type3,126.9619494,37.59805029,6.0,20241000000000.0,23,,갤러리 비앤에스,3021
서울특별시 관악구 관악로 1 서울대학교,박물관,1,0.0,A02,A0206,A02060100,129839,14,20071100000000.0,,,,126.9483849,37.46635146,6.0,20240500000000.0,5,,서울대학교 박물관,8826
서울특별시 종로구 성균관로 25-2 (명륜3가),,1,0.0,A02,A0206,A02060100,129838,14,20071100000000.0,,,,126.9969633,37.58496077,6.0,20250100000000.0,23,,성균관대학교 박물관,3063
서울특별시 동대문구 경희대로 26 (회기동),,1,0.0,A02,A0206,A02060100,129833,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/67/1505267_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/1505267_image3_1.jpg,Type3,117.9925663,19.69442748,6.0,20250400000000.0,11,,경희대학교 중앙박물관,2447
서울특별시 성북구 안암로 145,,1,0.0,A02,A0206,A02060100,129831,14,20071100000000.0,,,,127.0317877,37.58989971,6.0,20241100000000.0,17,,고려대학교박물관,2841
서울특별시 동대문구 서울시립대로 163 (전농동),,1,0.0,A02,A0206,A02060100,129828,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/58/2753958_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2753958_image3_1.jpg,Type3,127.0550691,37.58351754,6.0,20250400000000.0,11,,서울시립대학교 박물관,2504
