addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,시도명,시군구명,법정동,행정동
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2912515,38,20221031143017,http://tong.visitkorea.or.kr/cms/resource/37/2880537_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2880537_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240324121338,8.0,,테팔 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2925859,38,20221031144139,http://tong.visitkorea.or.kr/cms/resource/32/2880632_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2880632_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240324092035,8.0,,토리버치 현대 김포점,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2925808,38,20221031144053,http://tong.visitkorea.or.kr/cms/resource/28/2880628_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2880628_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323170417,8.0,,토즈 현대아울렛 김포점,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2911515,38,20221031143110,http://tong.visitkorea.or.kr/cms/resource/63/2880563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2880563_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323191342,8.0,,투미 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2913334,38,20221031183655,http://tong.visitkorea.or.kr/cms/resource/96/2888296_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2888296_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323194927,8.0,,트라이엄프 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2905527,38,20221031141716,http://tong.visitkorea.or.kr/cms/resource/23/2880523_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2880523_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240324104235,8.0,,휠라 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2927028,38,20221031143944,http://tong.visitkorea.or.kr/cms/resource/42/2880642_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2880642_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240324124239,8.0,,휴고보스 현대아울렛 김포점,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2926393,38,20221031143920,,,,126.7852461144,37.5972888829,6.0,20240323180006,8.0,,ABC마트 현대아울렛 김포점,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2925728,38,20221031143442,,,,126.7852461144,37.5972888829,6.0,20240323174008,8.0,,K2 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2900944,38,20221031171310,http://tong.visitkorea.or.kr/cms/resource/02/2888602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2888602_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240324120706,8.0,,PVH CK 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100,,31,,쇼핑,쇼핑,사후면세점,2914898,38,20221031170954,http://tong.visitkorea.or.kr/cms/resource/39/2888339_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2888339_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323161850,8.0,,SL 패밀리스토어 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100 (3층),,31,,쇼핑,쇼핑,사후면세점,2924461,38,20221031143159,http://tong.visitkorea.or.kr/cms/resource/68/2880568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2880568_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323160435,8.0,,플랙진 현대김포,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길 100 2층,,31,,쇼핑,쇼핑,사후면세점,2926107,38,20221031143847,http://tong.visitkorea.or.kr/cms/resource/36/2880636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2880636_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240323181514,8.0,,데무 현대아울렛 김포점,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길100,,31,,쇼핑,쇼핑,사후면세점,2927112,38,20221031144148,http://tong.visitkorea.or.kr/cms/resource/69/2880669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2880669_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240423155545,8.0,,엄브로,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길100,,31,,쇼핑,쇼핑,사후면세점,2927109,38,20221031144427,http://tong.visitkorea.or.kr/cms/resource/67/2880667_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2880667_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240423155618,8.0,,한섬더캐시미어,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 아라육로152번길100,,31,,쇼핑,쇼핑,사후면세점,2927332,38,20221031144345,http://tong.visitkorea.or.kr/cms/resource/80/2880680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2880680_image3_1.jpg,Type3,126.7852461144,37.5972888829,6.0,20240423155601,8.0,,BCBG,10135,경기도,김포시,고촌읍,고촌읍
경기도 김포시 약암로 795,,31,,음식,음식점,한식,2853129,39,20220914112521,http://tong.visitkorea.or.kr/cms/resource/19/2853119_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2853119_image3_1.jpg,Type3,126.5556635164,37.6258953733,6.0,20241226155339,8.0,,서지배이잔치국수,10042,경기도,김포시,대곶면,대곶면
경기도 김포시 약암로 853,,31,,음식,음식점,한식,2853189,39,20220914114424,http://tong.visitkorea.or.kr/cms/resource/83/2853183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2853183_image3_1.jpg,Type3,126.5523775802,37.630405901,6.0,20250115160120,8.0,,황촌집,10042,경기도,김포시,대곶면,대곶면
